"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-501-3p",152.017438644347,0.704897126577014,0.217545276786046,3.24023181284819,0.00119432561487753,0.44906643119395
"mmu-miR-3058-3p",18.5793664215342,0.302351300828505,1.33638118823878,0.226246301197172,0.821009860922643,0.993748756891911
"mmu-miR-186-3p",10.5045252268679,-0.108858326452006,0.432350785256815,-0.251782418730532,0.80120924744314,0.993748756891911
"mmu-miR-16-2-3p",46.4584193331809,-0.100719231518961,0.489754009613105,-0.20565269409132,0.837062213245858,0.993748756891911
"mmu-miR-342-3p",613.549779448676,-0.0270458873917318,0.190833533640151,-0.141725025344505,0.887297207098566,0.993748756891911
"mmu-miR-582-3p",340.145627965934,-0.277493274793455,0.452074060799742,-0.613822598674551,0.539332562108844,0.993748756891911
"mmu-let-7i-3p",136.29536581428,-0.0501573628840775,0.158198370761733,-0.317053599493897,0.751202932068518,0.993748756891911
"mmu-miR-340-3p",111.647921147578,-0.315418361711437,0.46302592451421,-0.681211018675384,0.495737976887378,0.993748756891911
"mmu-miR-871-3p",14.1727521387671,0.821166907478976,0.698344817157916,1.17587599607442,0.239644432228316,0.993748756891911
"mmu-miR-361-3p",424.247992627616,0.203625055124903,0.144930283489645,1.40498624733217,0.160025367837193,0.993748756891911
"mmu-miR-1249-3p",277.584507390395,0.405323146204317,0.326159608345537,1.24271410632463,0.21397320387033,0.993748756891911
"mmu-let-7a-2-3p",12.8837197729663,-0.0418126971092667,0.40733297406318,-0.102649919774924,0.918240821815503,0.993748756891911
"mmu-miR-141-3p",51.1996515124259,-0.046146309014949,0.537086321994419,-0.0859197248658076,0.931530231317102,0.993748756891911
"mmu-miR-193a-3p",61.9111278392916,-0.0338026326263209,0.386988727063305,-0.0873478483025461,0.930395021883399,0.993748756891911
"mmu-miR-148a-3p",40000.1700927563,-0.423303741965745,0.548239228630152,-0.772115018152615,0.44004630808715,0.993748756891911
"mmu-miR-26a-2-3p",22.344534775151,-0.0223244286740365,0.319272102807815,-0.0699228917205918,0.944255032762088,0.993748756891911
"mmu-miR-147-3p",36.9013157763038,-0.562147420360761,0.448554250677491,-1.25324287867454,0.210117329496978,0.993748756891911
"mmu-miR-21a-3p",316.511185153721,-0.609571962316956,0.487118681763504,-1.25138284598352,0.210794832726164,0.993748756891911
"mmu-miR-423-3p",3154.08580508135,0.532460879821005,0.387769356972518,1.37313810451181,0.169709417164082,0.993748756891911
"mmu-miR-328-3p",4006.83990058841,0.627046461179593,0.411875002639679,1.52241931935877,0.127904047086485,0.993748756891911
"mmu-miR-200c-3p",15.1299993103243,0.838432337952273,0.596884772790982,1.40468039422724,0.160116338335452,0.993748756891911
"mmu-miR-1247-3p",23.0920690081833,-0.282047553821504,0.91577242596709,-0.307988694378575,0.758090935058946,0.993748756891911
"mmu-miR-25-3p",6373.85642958068,-0.0321021362975126,0.144014532167796,-0.222909006572403,0.823606326512146,0.993748756891911
"mmu-let-7e-3p",85.1292417831841,0.115351638540088,0.167321282571239,0.689402069882985,0.490570281218694,0.993748756891911
"mmu-miR-144-3p",425.221488786993,-0.77774863003503,0.754613134678049,-1.03065874988626,0.302700875154777,0.993748756891911
"mmu-miR-339-3p",326.768473458763,0.303408956620621,0.247016106784405,1.22829624582107,0.21933577977034,0.993748756891911
"mmu-miR-369-3p",16.4403147140075,-0.339896958221299,0.351896049272277,-0.965901603397388,0.334093419959233,0.993748756891911
"mmu-miR-486a-3p",4259.21714071156,-0.292438369047724,0.493585710794489,-0.592477380629612,0.553530963070466,0.993748756891911
"mmu-miR-667-3p",33.6809123214746,0.102404577503104,0.772383194639099,0.132582606941562,0.894523488620497,0.993748756891911
"mmu-miR-98-3p",100.883880222178,-0.723419230395394,0.558182515838689,-1.29602631732101,0.194966418167518,0.993748756891911
"mmu-miR-143-3p",461628.646646415,-0.449761551448241,0.493171407291506,-0.911978157692328,0.361780215816294,0.993748756891911
"mmu-miR-130b-3p",70.6263373533754,0.233949518289822,0.228524431512741,1.02373963580685,0.305958268879457,0.993748756891911
"mmu-miR-320-3p",2213.50775795769,0.586332152416043,0.364628956995135,1.60802410551246,0.107829899457147,0.993748756891911
"mmu-miR-23b-3p",21537.6092780565,-0.0192445614095315,0.195644680594173,-0.09836485894268,0.921642577822216,0.993748756891911
"mmu-miR-429-3p",10.4286696030056,-0.164992836415714,0.488495612900454,-0.337757048494387,0.735546279923022,0.993748756891911
"mmu-miR-708-3p",19.2857235461796,-0.478521974471067,1.24726915610078,-0.383655742732407,0.701233619025521,0.993748756891911
"mmu-miR-33-3p",12.2462351180884,0.792672963692687,1.09619119178538,0.723115611248116,0.469608858941275,0.993748756891911
"mmu-miR-547-3p",52.017935802154,-0.420700673884069,0.44008686506555,-0.955949171128764,0.339097914924218,0.993748756891911
"mmu-miR-27b-3p",369293.252290726,-0.480961921377649,0.339220778123015,-1.41784334096195,0.156236507344235,0.993748756891911
"mmu-miR-23a-3p",17560.2428703124,0.0296486145006016,0.198375028239739,0.149457392715633,0.881192727377493,0.993748756891911
"mmu-miR-15a-3p",17.3996054615706,-0.40945246550653,0.385253837337842,-1.06281216648198,0.287867140992144,0.993748756891911
"mmu-miR-490-3p",1444.29720222475,-0.149978711017305,0.161323285356493,-0.929678010746441,0.352537822959312,0.993748756891911
"mmu-miR-125b-1-3p",452.186737353924,0.271496915664365,0.26600643874069,1.02064039107349,0.307424845566943,0.993748756891911
"mmu-miR-488-3p",62.1304154884649,-0.24138202434495,0.226391625848578,-1.06621445665309,0.286326708523269,0.993748756891911
"mmu-miR-1948-3p",28.3468628475298,-0.0306080457119832,0.296366839145366,-0.103277565736598,0.917742680343427,0.993748756891911
"mmu-miR-29a-3p",24194.2786174585,0.04216365374624,0.216067266842727,0.195141329653281,0.845282308085424,0.993748756891911
"mmu-miR-411-3p",29.0778347421991,-0.332041312593767,0.396319047523217,-0.837813157527625,0.402135647910363,0.993748756891911
"mmu-miR-1964-3p",98.7631809238239,0.483042332231129,0.331072590041756,1.45902242215281,0.144558936441461,0.993748756891911
"mmu-miR-208a-3p",2450.233682437,-0.255197008567241,0.650205309679857,-0.392486811116466,0.6946985544315,0.993748756891911
"mmu-miR-301a-3p",1646.32055959198,-0.387603385769708,0.647362747672778,-0.59874218459915,0.549344821750195,0.993748756891911
"mmu-miR-16-1-3p",29.9837205721663,-0.0763246242321594,0.412905379574216,-0.184847735117582,0.853348465746906,0.993748756891911
"mmu-miR-671-3p",462.284811231693,0.119807818200495,0.256180202736071,0.467670088948781,0.640020534277117,0.993748756891911
"mmu-miR-10a-3p",27.9381317427588,-0.0483127205523883,0.681050855490451,-0.0709384918364084,0.943446708471865,0.993748756891911
"mmu-miR-362-3p",48.6509144516149,-0.335811899659782,0.42034245455748,-0.798900743950099,0.424347967546751,0.993748756891911
"mmu-miR-380-3p",13.9263939750546,-0.369481468007804,0.493023000151337,-0.749420347315213,0.453603890873263,0.993748756891911
"mmu-miR-425-3p",198.989900502925,0.300586694042564,0.327394479808335,0.918117783227546,0.358557205672116,0.993748756891911
"mmu-let-7f-2-3p",218.405268294259,-0.845601076799898,1.83931941402675,-0.459735851397694,0.645705832755509,0.993748756891911
"mmu-miR-1943-3p",14.3864800025778,0.150025230978686,0.530546504290379,0.282774892993308,0.777349401638732,0.993748756891911
"mmu-miR-331-3p",363.793565834469,0.224795065006255,0.300455900903107,0.748179897051676,0.454351654945029,0.993748756891911
"mmu-miR-330-3p",65.0206730681628,0.3134000869608,0.277422369331096,1.12968571249843,0.2586086796682,0.993748756891911
"mmu-miR-31-3p",11.9278836267336,-0.370698839207318,0.469423646723874,-0.78968931751615,0.429709231511566,0.993748756891911
"mmu-miR-145a-3p",1833.377373133,-0.0455314625339097,0.56854262192944,-0.0800845192210769,0.936170035069929,0.993748756891911
"mmu-miR-150-3p",34.7148191925845,0.342438777577025,0.496086696923329,0.69028010567667,0.490018056188046,0.993748756891911
"mmu-miR-200a-3p",7.02298279785712,0.612090926237322,0.701488126082653,0.872560637135007,0.382902603618759,0.993748756891911
"mmu-miR-3068-3p",148.559393831117,-0.283059964421377,0.360879266543403,-0.784361947785476,0.432827759701475,0.993748756891911
"mmu-miR-101a-3p",13117.049196065,-0.376440304078982,0.662196640093199,-0.568472084101787,0.569714455945506,0.993748756891911
"mmu-miR-148b-3p",3398.8919765201,-0.31745708083198,0.22724055110846,-1.39700893737254,0.16241088354392,0.993748756891911
"mmu-miR-187-3p",89.932417250053,0.212307483108742,0.243833141732064,0.870708065362319,0.383913573565159,0.993748756891911
"mmu-miR-222-3p",1784.12865332088,0.0359707099320559,0.192044619115966,0.18730391977468,0.851422349840383,0.993748756891911
"mmu-miR-511-3p",50.0265360183755,0.200810150117803,0.526782319344225,0.381201385740859,0.703053820943235,0.993748756891911
"mmu-miR-500-3p",52.5859857458055,0.260760297927386,0.258263689966942,1.00966689495052,0.312654908249239,0.993748756891911
"mmu-miR-505-3p",9.59548800087539,0.0725829021993263,0.724810712225179,0.100140493200626,0.92023278796204,0.993748756891911
"mmu-miR-409-3p",87.0501021544748,-0.281361355468629,0.263334237590424,-1.06845717458982,0.285314338337873,0.993748756891911
"mmu-miR-30e-3p",6976.11343370155,-0.24816690228719,0.252188686801525,-0.984052478462285,0.325089710755543,0.993748756891911
"mmu-miR-345-3p",316.411338681902,0.129226484266828,0.172198101876411,0.750452431581244,0.452982262819443,0.993748756891911
"mmu-miR-20a-3p",6.47077621591276,-0.316636113828779,0.791387211052735,-0.400102641799805,0.689080918511373,0.993748756891911
"mmu-miR-203-3p",497.326260403127,-0.161212979187714,0.459669739522159,-0.350714796573948,0.725802323763159,0.993748756891911
"mmu-miR-218-1-3p",19.1575046548857,0.457279717507279,0.431561563775079,1.05959324437337,0.289329688327205,0.993748756891911
"mmu-miR-184-3p",47.9046447616749,-0.312443120250126,0.411297051986429,-0.759653196494186,0.44746191218877,0.993748756891911
"mmu-miR-126a-3p",40606.3952580205,-0.157390355268272,0.379323692393241,-0.414923608581525,0.678197826493837,0.993748756891911
"mmu-miR-872-3p",223.922590326858,0.0302356232572398,0.405301844201176,0.0746002607435264,0.940532766659779,0.993748756891911
"mmu-miR-485-3p",16.6170633231815,0.165562692936775,0.488630457948438,0.33883007136294,0.734737746196034,0.993748756891911
"mmu-miR-376b-3p",9.43255116889867,-1.27266685799539,1.03538156142854,-1.22917666820284,0.21900557473028,0.993748756891911
"mmu-miR-17-3p",59.3646029469977,0.385683914648886,0.248617150169555,1.5513166102413,0.120825828165527,0.993748756891911
"mmu-miR-652-3p",1031.15882095163,0.194803509020549,0.173381555901306,1.12355381752046,0.2612023574352,0.993748756891911
"mmu-miR-450b-3p",12.0039593302202,0.138483183429503,0.428748866191485,0.322993701790118,0.746700011893691,0.993748756891911
"mmu-miR-34c-3p",31.5795218575496,-0.135909392017847,0.376719871867105,-0.360770434923571,0.718271065935429,0.993748756891911
"mmu-miR-455-3p",347.46166997182,-0.162650058281683,0.71351483461934,-0.227956099004524,0.81968036990366,0.993748756891911
"mmu-miR-27a-3p",20698.2787587506,-0.367960214291382,0.353008065335035,-1.04235639472474,0.297246475150502,0.993748756891911
"mmu-miR-181a-1-3p",3122.21429783581,0.0677520559072526,0.270248299909194,0.250702986586846,0.802043751448671,0.993748756891911
"mmu-miR-100-3p",12.0469710043972,-0.455129700258277,0.415672071727939,-1.09492489684552,0.273549540665937,0.993748756891911
"mmu-miR-350-3p",58.9611718178577,0.0487241405756813,0.539775554766248,0.0902674086394696,0.928074718529883,0.993748756891911
"mmu-miR-877-3p",33.7403648496974,0.155641069282107,0.314917389712597,0.494228246411384,0.621144993310931,0.993748756891911
"mmu-miR-214-3p",1566.98045575201,0.312566476238547,0.382871214695951,0.816374969548872,0.41428570804692,0.993748756891911
"mmu-miR-674-3p",543.455069984864,0.0725826035600854,0.179664787439923,0.403989031987449,0.686220784597595,0.993748756891911
"mmu-let-7c-1-3p",65.4911704122441,-0.307232005041271,0.536571472971497,-0.572583561589364,0.566926692550251,0.993748756891911
"mmu-miR-99a-3p",175.135351555302,-0.111809792222542,0.282683641542264,-0.395529757620675,0.692451964797413,0.993748756891911
"mmu-miR-30b-3p",73.8905217715005,-0.0271849471257479,0.232190435902887,-0.11708039144695,0.906796348215576,0.993748756891911
"mmu-miR-212-3p",355.227839670119,0.13709219552656,0.25582842001634,0.535875550956395,0.592044562751357,0.993748756891911
"mmu-miR-32-3p",9.2349191301776,-0.169616866511573,0.60211410422337,-0.281702197842304,0.778171869081173,0.993748756891911
"mmu-miR-221-3p",4010.83742733857,-0.0671667003937215,0.147598395855857,-0.455063891475593,0.649063274418526,0.993748756891911
"mmu-miR-503-3p",67.5757818679716,0.229675875741123,0.195877931810598,1.17254595052191,0.240977934943527,0.993748756891911
"mmu-let-7b-3p",743.208588323093,-0.0605163394911656,0.135850062553215,-0.445464200411836,0.655984325494111,0.993748756891911
"mmu-miR-99b-3p",111.545160516946,0.214630523093433,0.269402363980628,0.796691313031188,0.42563033033099,0.993748756891911
"mmu-miR-30c-1-3p",416.619747521812,0.370997453871232,0.301073525359066,1.23224867888591,0.217856204346414,0.993748756891911
"mmu-miR-30d-3p",525.160133013806,-0.380105707857056,0.506751009029666,-0.750083771090831,0.453204253116344,0.993748756891911
"mmu-miR-543-3p",7.48662350127723,-0.430371715956901,1.01868430505361,-0.42247800797741,0.672676149607456,0.993748756891911
"mmu-miR-1198-3p",6.22612170207362,0.854721762722522,2.14961218280537,0.397616728058854,0.690912727874221,0.993748756891911
"mmu-miR-3098-3p",18.6992807947495,0.506234356921417,0.37570351369796,1.34743045636884,0.177841637103049,0.993748756891911
"mmu-miR-335-3p",396.830818102571,-0.684108869974172,0.502550981269732,-1.36127257824812,0.173427565432359,0.993748756891911
"mmu-miR-487b-3p",12.5149955519521,-0.090083772700327,0.399932024620866,-0.225247709997033,0.821786575729063,0.993748756891911
"mmu-miR-598-3p",20.2734694992997,-0.466811818702072,0.297946752531491,-1.56676256658556,0.117170200183255,0.993748756891911
"mmu-miR-93-3p",43.3513488361376,0.224190750380037,0.263146766001451,0.851960880183497,0.394235804865719,0.993748756891911
"mmu-miR-378a-3p",204545.452605291,0.0606718565831307,0.208383226620082,0.291155183491548,0.77093263677699,0.993748756891911
"mmu-miR-185-3p",67.3149368841982,0.110357348089955,0.35022946120165,0.31510012810263,0.752685631257227,0.993748756891911
"mmu-miR-195a-3p",387.912048118644,0.0564075604951742,0.188870155043215,0.298657882089776,0.765201096273997,0.993748756891911
"mmu-miR-376c-3p",14.5986026023264,-0.29462736169334,0.383667041308952,-0.767924606419577,0.442531977708584,0.993748756891911
"mmu-miR-219a-1-3p",37.8859695655346,0.424648030845442,0.421639341141898,1.00713569491736,0.313869569920006,0.993748756891911
"mmu-miR-34b-3p",47.5174499130115,-0.0441084462427902,0.359041178211626,-0.1228506614826,0.90222535600349,0.993748756891911
"mmu-miR-338-3p",274.149027874707,-0.089409190529512,0.227436954687927,-0.39311637219287,0.694233532317875,0.993748756891911
"mmu-miR-496a-3p",6.80480598306611,-1.04055414920693,0.86746830152383,-1.19952988181706,0.230321972737746,0.993748756891911
"mmu-miR-140-3p",8465.32473691818,-0.0525568388947027,0.24334089980436,-0.215980293230431,0.829003108766971,0.993748756891911
"mmu-miR-3061-3p",52.2460167409758,-0.554792525702883,0.228083427139306,-2.4324105116328,0.0149986973086968,0.993748756891911
"mmu-miR-676-3p",989.687276169442,0.739806396691169,0.383598209668865,1.92859710510588,0.0537808987137033,0.993748756891911
"mmu-miR-181c-3p",583.821408551653,-0.31419444336677,0.187581955637744,-1.67497157335079,0.0939398091969922,0.993748756891911
"mmu-miR-379-3p",24.60610661365,-0.30304999004628,0.422039804834506,-0.718060208006007,0.472720164051937,0.993748756891911
"mmu-miR-190a-3p",6.75187468607321,-0.506265927279521,0.746359093382049,-0.678314140965885,0.497572534522913,0.993748756891911
"mmu-miR-153-3p",56.8406790076245,-0.377733563541473,0.507484168068672,-0.744325808190254,0.456679391453336,0.993748756891911
"mmu-miR-540-3p",37.3406531264295,-0.0623650078620848,0.232516159256665,-0.268217951223092,0.788531558005654,0.993748756891911
"mmu-let-7g-3p",55.3365047442656,0.0223221569066634,0.216129957818116,0.10328117921278,0.917739812542314,0.993748756891911
"mmu-miR-152-3p",1387.50965081466,-0.129403477128616,0.405652884079436,-0.319000510552948,0.749726125628049,0.993748756891911
"mmu-miR-200b-3p",13.9244232843795,0.253889226792474,0.453149923834432,0.560276441501153,0.575290893875265,0.993748756891911
"mmu-miR-215-3p",13.1187413939856,-0.0764750065737875,0.388606055597248,-0.196793141723572,0.843989418284104,0.993748756891911
"mmu-miR-300-3p",228.33530154281,-0.407244362614389,0.254019929978022,-1.60319846812659,0.108890843589962,0.993748756891911
"mmu-miR-673-3p",39.1769748204181,0.173934554926898,0.351983386480823,0.49415558122194,0.621196307036355,0.993748756891911
"mmu-miR-666-3p",12.3451882745455,-0.319824380132883,0.654866391396253,-0.488381117636804,0.625279914026796,0.993748756891911
"mmu-let-7d-3p",3936.4045267769,0.318399476345744,0.302172377280497,1.05370146408248,0.292019618428892,0.993748756891911
"mmu-miR-19a-3p",56.4545813240084,-0.323667354632358,0.588711393189075,-0.549789520598604,0.582463747166708,0.993748756891911
"mmu-miR-381-3p",171.348241243306,-0.216866083640322,0.255560312075323,-0.848590619878423,0.396109128267982,0.993748756891911
"mmu-miR-101b-3p",1911.02832764154,-0.4465813093251,0.618710587076416,-0.721793547182252,0.470421417337243,0.993748756891911
"mmu-miR-363-3p",8.23350475223548,0.625553611291839,0.689736908493039,0.906945247657648,0.364435751831075,0.993748756891911
"mmu-miR-322-3p",777.802498715309,-0.302872847167768,0.288059560805013,-1.05142438710022,0.293063720140521,0.993748756891911
"mmu-miR-542-3p",80.1854332915014,-0.509104466807555,0.658024142930185,-0.77368660751642,0.439116141689273,0.993748756891911
"mmu-miR-223-3p",569.316953116165,-0.22772258757322,0.506100005123971,-0.449955710862795,0.652742375750278,0.993748756891911
"mmu-miR-29c-3p",2497.15792052141,-0.164735711022838,0.452126750281278,-0.364357364213359,0.715591168893621,0.993748756891911
"mmu-miR-3109-3p",15.2358859328254,-0.171033995696227,0.365167399343498,-0.468371481144576,0.639518958791995,0.993748756891911
"mmu-miR-139-3p",63.5559610170488,0.577739474419059,0.442749812519083,1.30488925818384,0.191930559470084,0.993748756891911
"mmu-miR-3065-3p",177.744878959836,0.528952985773407,0.512353296986641,1.03239891083827,0.301885281971623,0.993748756891911
"mmu-miR-329-3p",54.3319499360611,-0.415570111355547,0.643975370192682,-0.645319884254588,0.518719909511226,0.993748756891911
"mmu-miR-106b-3p",261.61751977242,0.333535860757675,0.250410919113392,1.3319541413713,0.182875258283407,0.993748756891911
"mmu-miR-299a-3p",16.7025884636239,-0.0785996334701098,0.41387336058191,-0.189912279832647,0.849377869673875,0.993748756891911
"mmu-miR-10b-3p",9.59330405125836,-0.280793023506007,0.864817053042498,-0.324684882794752,0.745419577102013,0.993748756891911
"mmu-miR-7a-1-3p",37.9830285997765,-0.0602001740616263,0.441606239434388,-0.136320931829974,0.891567577140582,0.993748756891911
"mmu-miR-421-3p",275.307157550724,-0.0782734303814471,0.187873994289874,-0.416627275516789,0.676951055646067,0.993748756891911
"mmu-miR-28a-3p",712.107481260908,0.0824144879397378,0.185415328468437,0.44448583955003,0.656691364483832,0.993748756891911
"mmu-miR-26b-3p",136.471154496261,0.115672855491137,0.280059725051877,0.41302924035118,0.67958519068099,0.993748756891911
"mmu-miR-433-3p",38.1521260290105,0.0800643296612172,0.386170257204458,0.2073290942726,0.835752853812089,0.993748756891911
"mmu-miR-191-3p",94.4018500794974,-0.165423912424038,0.199097154533028,-0.830870299538088,0.40604690363975,0.993748756891911
"mmu-miR-324-3p",80.9571011596167,0.451437486427857,0.259240544764385,1.74138457716232,0.0816161897905498,0.993748756891911
"mmu-miR-133b-3p",10277.35438596,-0.479043917312869,0.273995532739601,-1.7483639697445,0.0804010227218292,0.993748756891911
"mmu-let-7f-1-3p",163.596875689448,-0.205733835033986,0.673676615530626,-0.305389604286529,0.7600694384472,0.993748756891911
"mmu-miR-30a-3p",5503.37314176797,-0.11578299222687,0.175533379648409,-0.659606693944944,0.509506257451386,0.993748756891911
"mmu-miR-30c-2-3p",806.397321107775,0.471237060917072,0.350935407271866,1.34280283822148,0.179335824136817,0.993748756891911
"mmu-miR-127-3p",12593.0578625243,-0.151182320359025,0.28418729153345,-0.531981284396139,0.594738957986701,0.993748756891911
"mmu-miR-125b-2-3p",2515.71598138684,-0.250581224208363,0.168889308662528,-1.48370092928185,0.137888279650557,0.993748756891911
"mmu-miR-208b-3p",11715.0957516417,-0.843451626469735,0.667525104880332,-1.26355041975678,0.206391438792395,0.993748756891911
"mmu-miR-410-3p",192.322413548656,-0.518550622126558,0.364255659352904,-1.42358974750799,0.154565265432118,0.993748756891911
"mmu-miR-744-3p",53.9633525235337,-0.249217349390264,0.290861413104199,-0.856825065691969,0.39154157071977,0.993748756891911
"mmu-miR-210-3p",753.013035853885,-0.152870220974225,0.246751448285519,-0.619531200470755,0.535566474357055,0.993748756891911
"mmu-miR-532-3p",63.9793430756224,0.542184471110079,0.326920685017264,1.65845875149028,0.0972249065661977,0.993748756891911
"mmu-miR-874-3p",97.8940246323556,0.281485956016673,0.274130689504834,1.02683124069445,0.30449993604365,0.993748756891911
"mmu-miR-129-2-3p",18.7917288423587,-0.407375476606596,1.17559859953957,-0.346525996854833,0.728947450364996,0.993748756891911
"mmu-miR-125a-3p",68.0685309284509,0.0358800673625728,0.210912009018956,0.170118655307807,0.864916822544851,0.993748756891911
"mmu-miR-132-3p",2084.88967936778,0.12304369681855,0.315860389153388,0.3895508935082,0.696868670208238,0.993748756891911
"mmu-miR-1933-3p",25.9810846750408,-0.525387750096656,0.45264300414126,-1.16071107979103,0.245759414495702,0.993748756891911
"mmu-miR-326-3p",166.382470493765,0.386607067753794,0.26390172199263,1.46496606704443,0.142930175936283,0.993748756891911
"mmu-miR-337-3p",13.713690724527,0.387941994607832,0.439395916952331,0.882898496869554,0.377291115830206,0.993748756891911
"mmu-miR-499-3p",49.8191905234867,-0.229627890178135,0.555594768388881,-0.4133010302527,0.67938607513741,0.993748756891911
"mmu-miR-92b-3p",691.964750723192,0.419072345587658,0.367635522065012,1.13991255043507,0.254322735792872,0.993748756891911
"mmu-miR-15b-3p",68.835012434629,-0.335104030385725,0.53635326592101,-0.624782306136039,0.532113945075047,0.993748756891911
"mmu-miR-18a-3p",19.5648803232166,0.546707334991225,0.348785837538609,1.56745852655415,0.117007553040417,0.993748756891911
"mmu-miR-136-3p",58.5847119325949,-0.667981093176469,0.558909733348612,-1.19515022430254,0.232028342078638,0.993748756891911
"mmu-miR-298-5p",137.708673409736,-0.103238823758177,0.310088441987056,-0.332933478902405,0.739184497180339,0.993748756891911
"mmu-miR-193b-5p",5.41878567872456,-1.1463523663407,1.7295125663104,-0.66281817702327,0.507447010596153,0.993748756891911
"mmu-miR-186-5p",9867.00701914578,-0.122256494076875,0.17501620007954,-0.698543872060487,0.48483713108753,0.993748756891911
"mmu-miR-342-5p",19.1919491502368,0.0576143537081231,0.30439944014453,0.189272206547974,0.849879477553742,0.993748756891911
"mmu-miR-582-5p",37.5170989777719,0.119947614383247,0.518714862131724,0.231239980073652,0.817128371940058,0.993748756891911
"mmu-let-7i-5p",23068.9984114882,-0.0550555502744798,0.200965970213549,-0.273954591496148,0.784119517799158,0.993748756891911
